packaging,base_name,ecommerce_category,mrp
160g,Multi Grain Biscuit,Biscuits & Cookies,2
135g,Masala Puff,Bakery & Breads,25
90g,Cinemon Roll,Bakery & Breads,10
385g,Brown Bread,Bakery & Breads,189
140g,Puliyogare,Bakery & Breads,10
70g,Corn Puff mini,Snacks & Namkeen,10
"14""x16""",Cloth Carry Bag,Packaging & Carry Bags,20
standard,Agarbatti,Books & Media,300
500g,Karnataka Honey,Honey & Natural Sweeteners,53
250g,Karnataka Honey,Packaging & Carry Bags,53
100g,Samosa,Snacks & Namkeen,10
standard,Coconut Set with Butti Rs.70,Temple Prasadam,54
500ml,Water Bisleri,Beverages & Water,10
85g,Choco Doughnut,Beverages & Water,126
220g,Ragi Rusk,Snacks & Namkeen,10
standard,Krishna Image,Pooja & Religious Items,255
210g,Cheesecake,Beverages & Water,123
160g,Double Chocolate Cookies,Biscuits & Cookies,15
standard,Crockery Set,Food & Grocery,122
standard,Crockery Set,Food & Grocery,122
180g,Breakfast Chocolate Bun,Bakery & Breads,10
90g,Jam Bun,Bakery & Breads,60
250ml,Water Bottle,Honey & Natural Sweeteners,53
135g,Sweet Bun,Bakery & Breads,75
4L,Surf Excel Liq. TL,Laundry & Detergent Powder,718
standard,Panneer,Bakery & Breads,400
330g,Masala Bread,Bakery & Breads,25
standard,Cold Coffee,Tea & Beverages,125
standard,Rice,Books & Media,100
standard,A Second Chance (Hindi),Books & Media,300
standard,A Second Chance (Hindi),Books & Media,3000
100g,Dhaniya,Food & Grocery,25
standard,12 Eggs,Eggs,80
standard,6 Eggs,Eggs,32
standard,Aam Papad,Food & Grocery,25
standard,Cheese Ring,Cheese & Paneer,20
standard,Upwas Wefers 100 g,Food & Grocery,25
50ml,Medicare Anti Lise Shampoo,Hair Care & Shampoo,50
75ml,Vatika Hair Oil,Cooking Oils,42
150ml,Vatika Hair Oil,Cooking Oils,84
standard,Rice,"Rice, Poha & Puffed Rice",25
standard,6 Eggs,Eggs,35
16g,Idex Pain Balm,Food & Grocery,55
standard,5 STAR 10.1g PLPCH NEW SOFTER BAR,Chocolates & Confectionery,5
standard,5 STAR 40 g PLPCH NEW SOFTER BAR CHOCO MILK,Chocolates & Confectionery,20
105g,50 50 Maska Chaska,Food & Grocery,30
135g,Khara Bun,Bakery & Breads,5555
standard,Atta,Flours & Semolina,120
standard,Mouse,Books & Media,100
158.6g,Cadbury Celebration,Chocolates & Confectionery,160
250g,ACHAR MASALA.,Masala & Spices,160
standard,AMPORIOS JEERA AJWAIN STICKS,Indian Sweets,39
1L,Gulab CP Sesame Oil,Cooking Oils,590
400g,Hide&seek Cream Sandwiches,Biscuits & Cookies,180
