packaging,base_name,ecommerce_category,mrp
200g,MTR Rice Idli,Cereals & Breakfast,80
180g,MTR Vermicelli Payasam,"Noodles, Pasta & Vermicelli",75
300g,MTR bisibele bhath just heat eat,Ready to Cook & Instant Mixes,300
standard,MTR poha,Cereals & Breakfast,27
100g,MTR sambar powder,Masala & Spices,77
250g,MTR veg pulao,"Rice, Poha & Puffed Rice",125
500g,Madhur Jaggery Powder,"Salt, Sugar & Jaggery",100
250g,Madras Mix,Food & Grocery,80
250g,Magdadiya,Food & Grocery,175
90g,Maggi pichkoo,"Sauces, Jams & Spreads",15
200g,Maggi tomato ketchup,"Sauces, Jams & Spreads",62
standard,Maggi Hot & sweet,Food & Grocery,65
500g,Maggi Hot & sweet,Food & Grocery,115
6g,Maggi Magic Masala 12Units*,Masala & Spices,60
140g,Maggi Noodles,"Noodles, Pasta & Vermicelli",28
420g,Maggi Noodles,"Noodles, Pasta & Vermicelli",82
8pack,Maggi Noodles,"Noodles, Pasta & Vermicelli",109
70g,Maggi Pazzta Cheese,Cheese & Paneer,24
500g,Maggi Rich Tomato Ketchup,"Sauces, Jams & Spreads",105
70g,Maggi Special Masala,Masala & Spices,18
4pack,Maggi Veg Atta,Flours & Semolina,94
90g,Maggi hot & sweet,Food & Grocery,22
standard,Maggi tomato sauce no onion no garlic,"Sauces, Jams & Spreads",72
standard,Mahabaleshwar chana,Food & Grocery,80
200g,Rice Kurda,Ready to Cook & Instant Mixes,75
500g,Makai Atta,Flours & Semolina,36
500g,Makai Poha,"Rice, Poha & Puffed Rice",48
250g,Makai pohe,"Rice, Poha & Puffed Rice",24
100g,Makhane,Food & Grocery,220
200g,Makhane,Food & Grocery,440
standard,Mala's Orange,Juices & Concentrates,750
standard,Mala's Beack Current,Juices & Concentrates,160
standard,Mala's Blueberry,Juices & Concentrates,350
standard,Mala's Kacha Aam,Juices & Concentrates,155
standard,Mala's Kiwi,Juices & Concentrates,185
standard,Mala's Rasmalai,Juices & Concentrates,300
80degree,Malgundi coffee,Coffee,110
200g,Wheat Kurda,Ready to Cook & Instant Mixes,75
standard,Mamara Badam,Dry Fruits & Nuts,1400
200g,Palak Papad,Ready to Cook & Instant Mixes,70
100g,Mamara Badam AAA,Dry Fruits & Nuts,440
250g,Mamra Badam,Dry Fruits & Nuts,900
250g,Manglory mix,Food & Grocery,80
standard,Mango Pulp,Food & Grocery,100
200g,Mango bar,Food & Grocery,85
standard,Mangroli khakara,Food & Grocery,70
100g,Manish Agari Masala,Masala & Spices,76
100g,Manish Chilli Powder,Masala & Spices,66
100g,Manish Garam Masala,Masala & Spices,78
100g,Manish Kashmiri Chilli Powder,Masala & Spices,86
100g,Manish Mix Masala,Masala & Spices,64
100g,Manisha Coriander Cumin Powder,Masala & Spices,65
200g,Mapro Mango Jam,"Sauces, Jams & Spreads",85
2,Mapro Mix Fruit Jam,"Sauces, Jams & Spreads",72
4+1,Margo Soap,Bathing Soaps & Body Wash,160
250g,Masala Diet,Masala & Spices,70
500g,Moong Atta,Food & Grocery,130
standard,Masala Velachi,Masala & Spices,60
standard,Masala Velachi,Masala & Spices,150
standard,Masala Velachi,Masala & Spices,300
200g,Masala dryfruit,Dry Fruits & Nuts,275
200g,Masala Chanadal,Masala & Spices,90
250g,Malai chikki,Indian Sweets,140
250g,Mamara Badam,Dry Fruits & Nuts,900
250g,Masala puri,Masala & Spices,80
250g,Masur,Dals & Pulses,30
500g,Masur,Dals & Pulses,60
1kg,Masur Dal,Dals & Pulses,120
250kg,Masur Dal,Dals & Pulses,30
500kg,Masur Dal,Dals & Pulses,60
standard,Masuri Rice,"Rice, Poha & Puffed Rice",42
250g,Mataki,Food & Grocery,35
500g,Mataki,Food & Grocery,70
250g,Matakidal,Tea & Beverages,45
250g,Matki,Food & Grocery,35
250g,Matki Dal,Dals & Pulses,45
75g,Medimix giycerine,Food & Grocery,120
75g,Medimix nature cool,Food & Grocery,115
6*75g,Medimix soap,Bathing Soaps & Body Wash,180
250g,Medjoul Dates,Dry Fruits & Nuts,300
standard,Methi,Food & Grocery,120
standard,Methi,Food & Grocery,240
200g,Methi Muthiya,Food & Grocery,70
250g,Methi ladoo,Indian Sweets,175
100g,Methi,Food & Grocery,24
50g,Methi,Food & Grocery,12
250g,Methi Bhakarwadi,Snacks & Namkeen,100
standard,Dariy Milk Crackle,Chocolates & Confectionery,55
200g,Methi Pakwan,Food & Grocery,100
250g,Methi Powder,Pickles & Chutneys,90
standard,Methi khakara,Snacks & Namkeen,70
100g,Methi powder,Bakery & Breads,36
50g,Methi powder,Tea & Beverages,18
standard,Methidal,Food & Grocery,180
standard,Methidal,Food & Grocery,360
100g,Methidal,Food & Grocery,36
250g,Methidal,Food & Grocery,90
50g,Methidal,Food & Grocery,18
380g,Milkmaid,Milk & Dairy,139
250g,Methi Puri,Food & Grocery,85
400g,Milkmaid,Cheese & Paneer,132
100g,Dhanakuria,Food & Grocery,48
standard,Mini Chakali,Snacks & Namkeen,70
12,Mintz Chocolate,Chocolates & Confectionery,36
500g,Mirchi Powder,Masala & Spices,350
100g,Mirchi powder,Pet Supplies,70
250g,Mirchi powder,Masala & Spices,175
standard,Miri Wafer250g,Biscuits & Cookies,90
standard,Mix Dryfruit,Dry Fruits & Nuts,1100
standard,Cookie,Biscuits & Cookies,199
250g,Mix Dryfruit,Dry Fruits & Nuts,200
250g,Mix Farsan,Snacks & Namkeen,75
500g,Mix chikki,Indian Sweets,250
standard,Mogu Mogu Lichy,Juices & Concentrates,70
50g,Moments Citric Acid,Household Utilities,50
50g,Moments Cocoa Powder,Ready to Cook & Instant Mixes,75
100g,Moments Custard Powder Pineapple,Food & Grocery,45
25g,Moments Dry Yeast,Raw Spices,40
100g,Moments Orange Jelly,Food & Grocery,55
25g,Moments Tasty Make,Masala & Spices,28
1kg,Moong,Food & Grocery,200
standard,Moong 250 g,Food & Grocery,50
500g,Moong,Food & Grocery,100
250g,Moong Dal,Dals & Pulses,45
500g,Moong Dal,Dals & Pulses,90
250g,Moong Khakara,"Salt, Sugar & Jaggery",100
standard,Moong Khakra,Food & Grocery,100
standard,Moongchakali,Snacks & Namkeen,100
standard,Moongdal Puri,Snacks & Namkeen,90
standard,Moongdal chakali,Snacks & Namkeen,100
500g,Mosambi Chane,Food & Grocery,90
100g,Mix Dryfruit,Dry Fruits & Nuts,120
250g,Mini Moong Chakli,Food & Grocery,100
250g,Mix prasad,Temple Prasadam,70
100g,Mix prasad,Temple Prasadam,35
1kg,Moong Dal,Dals & Pulses,180
standard,Mosambi Chane250g,Food & Grocery,45
200g,Mother 'S Tamarind Date,Food & Grocery,60
200g,Mother'S Bhelpuri chutney,Snacks & Namkeen,57
200g,Mother'S Samosa chutney,Pickles & Chutneys,55
standard,Mr. Muscle. Leq.,Household Cleaning,130
standard,Mtr Sambar Powder 200 g,Masala & Spices,130
200g,Muesli nut delight,Baby Foods,110
100g,Mukhawas,Food & Grocery,60
standard,Bajari Atta,Flours & Semolina,80
standard,Musli Fruit & Nut,Food & Grocery,445
standard,Musli Nuts Delight,Food & Grocery,725
standard,Mysure Sandal Leq.,Air Fresheners,120
75g,Mysure Sandal,Bathing Soaps & Body Wash,40
1+1,Mysure Sandal Freshnol,Bathroom Cleaners,14
125g,Mysure Sandal Gold,Bathing Soaps & Body Wash,85
150g,Mysure Sandal Soap,Bathing Soaps & Body Wash,78
250g,Nutri Choice,Biscuits & Cookies,75
200g,NASCAFE,Food & Grocery,640
100g,NESCAFE JAR,Coffee,330
standard,NIVEA 75ML PBT NOURSHNG BODYMILK ALMOND OIL NEW 48 DEEP MOIST+RS35OFF,Skin Care &  Body Lotion,79
250ml,NIvea men BW protect & care,Bathing Soaps & Body Wash,199
standard,NYCIL 150 g PBT GERM EXPERT COOL HERBAL PRC PWR+FR EVERYUTH 25g SCRB,Talcum Powder,145
standard,NYCIL 150 g PLBOT GERM EXPERT COOL ALOE 5 IN ONE BENIFITS+FR 50G CH,Skin Care &  Body Lotion,130
250g,Nachani ladoo,Indian Sweets,175
250g,Nachani,Food & Grocery,16
500g,Nachani,Food & Grocery,32
500kg,Nachani Atta,Flours & Semolina,40
100g,Nachani Puff,Food & Grocery,30
250g,Nachani Puff,Food & Grocery,60
250g,Nachani khakara,Food & Grocery,80
200g,Nachani kurmura,Food & Grocery,50
1kg,Nachani,Food & Grocery,64
200g,Nagarvel Pan,Food & Grocery,140
standard,Nagkesar,Food & Grocery,48
standard,Nagkesar,Food & Grocery,96
standard,Nagkesar,Food & Grocery,240
standard,Nagkesar,Food & Grocery,480
standard,Nandini ghee,Ghee & Dairy Fats,630
standard,Nandini ghee 1 litre,Ghee & Dairy Fats,570
500ml,Nandini ghee,Ghee & Dairy Fats,305
200g,Navrang Mix,Food & Grocery,70
50ml,Navratna Ayurvedic Oil,Hair Care & Oil,42
standard,Neer Rice,"Rice, Poha & Puffed Rice",88
100g,Nescafe Black Roast,Coffee,350
1.1g,Nescafe Classic,Coffee,2
25g,Nescafe Classic,Coffee,80
50g,Nescafe Classic,Coffee,160
50g,Nescafe Classic Jar,Coffee,170
100g,Nescafe Gold,Coffee,475
50g,Nescafe Gold Blend,Coffee,290
1.8g,Nescafe Sunrise,Coffee,2
200g,Nescafe sunrise,Coffee,380
50g,Nescafe sunrise,Coffee,95
5kg,New Basmati Rice,OTC Medicines,600
standard,Nivea Aloe Hydration,Skin Care &  Body Lotion,275
400ml,Nivea Aloe Hydration,Skin Care &  Body Lotion,425
500ml,Nivea BW Frangipani & oil,Cooking Oils,449
200ml,Nivea Body Milk,Skin Care &  Body Lotion,199
400ml,Nivea Body Milk,Skin Care &  Body Lotion,399
100ml,Nivea Cream,Skin Care & Face Cream,175
200ml,Nivea Cream,Skin Care &  Body Lotion,270
20ml,Nivea Cream,Skin Care & Face Cream,35
30ml,Nivea Cream,Skin Care & Face Cream,60
60ml,Nivea Cream,Skin Care &  Body Lotion,99
200ml,Nivea Extra Whitening,Skin Care &  Body Lotion,299
400g,Nivea Musk Talc,Food & Grocery,299
200ml,Nivea Shea Smooth,Skin Care &  Body Lotion,235
75ml,Nivea Shea Smooth,Food & Grocery,99
1kg,Natural Gud,"Salt, Sugar & Jaggery",74
100ml,Nivea Soft,Skin Care &  Body Lotion,159
200ml,Nivea Soft,Skin Care & Face Cream,270
25ml,Nivea Soft,Skin Care &  Body Lotion,45
50ml,Nivea Soft,Skin Care & Face Cream,90
100g,Nivea acno FW,Food & Grocery,199
standard,Nivea acno FW 50 g,Food & Grocery,99
50g,Nivea all in 1 charcoal FW,Skin Care & Face Wash,125
50g,Nivea dark spot reduction FW,Skin Care &  Body Lotion,99
400g,Nivea pure talc,Talcum Powder,249
1L,Np rice brand oil,"Rice, Poha & Puffed Rice",190
180g,Nutella,Chocolates & Confectionery,220
500g,Bajari Atta,Flours & Semolina,40
180ml,Nyle Anti Dandruff,Hair Care & Shampoo,110
180ml,Nyle Damage Repair,Hair Care & Shampoo,95
400ml,Nyle Shampoo Damage Repair,Hair Care & Shampoo,205
250g,Nylon Pohe,"Rice, Poha & Puffed Rice",45
500g,Nylon Pohe,"Rice, Poha & Puffed Rice",90
250g,Nylon Sabudana,"Rice, Poha & Puffed Rice",40
50g,Badam Salli,Dry Fruits & Nuts,80
7in1,Olay Cream,Skin Care &  Body Lotion,399
20g,Olay Natural White,Skin Care & Face Cream,99
standard,Omkar Jamun Juice,"Sauces, Jams & Spreads",190
standard,Omkar Kokum,Food & Grocery,170
standard,Omkar Kokum Juice,Juices & Concentrates,130
14g,Only basil,Food & Grocery,99
100g,Only sea salt,Raw Spices,89
standard,Oral b extra soft toothbrush,Food & Grocery,30
120g,Oreo Chocolate,Biscuits & Cookies,30
standard,Ova,Food & Grocery,400
50g,Ova,Food & Grocery,20
250g,Ova sp,Food & Grocery,150
standard,Oxycool Bislery,Food & Grocery,10
standard,PARLE MILANO CHOCO DELIGHT,Indian Sweets,150
200g,PATASA,Baby Foods,40
250g,Ova,Food & Grocery,100
standard,PEANUT BUTTER CHO,Cheese & Paneer,320
standard,PITA BARI PO,Food & Grocery,45
standard,PURO [PWDSLT] 1 kg PLPCH HEALTHY SALT DAILY USE MINERAL SALT,"Salt, Sugar & Jaggery",110
100g,Pabadi,Food & Grocery,120
200g,Panchratna Mix,Food & Grocery,70
standard,Pandi Mirchi,Masala & Spices,35
standard,Pandi Mirchi,Masala & Spices,110
standard,Pandi Mirchi,Masala & Spices,160
standard,Pandi Mirchi,Masala & Spices,320
200g,Panjabi Tadka,Food & Grocery,80
250g,Papad Chivda,Snacks & Namkeen,80
250g,Papdi Wal,Snacks & Namkeen,65
250g,Panjabi Khakara,Snacks & Namkeen,80
250ml,Parachute,Hair Care & Oil,93
150ml,Parachute Aloe Vera,Hair Care & Oil,78
250ml,Parachute Aloe vera,Hair Care & Oil,130
300ml,Parachute Ayurvedic,Hair Care & Oil,185
95ml,Parachute Ayurvedic,Hair Care & Oil,64
90ml,Parachute Hot Oil,Hair Care & Oil,55
300ml,Parachute Jasmine Oil,Hair Care & Oil,132
90ml,Parachute Jasmine Oil,Cooking Oils,40
190ml,Parachute Jasmine oil,Hair Care & Oil,84
standard,Parimal Rice,"Rice, Poha & Puffed Rice",40
200g,Parle Gold,Food & Grocery,30
200g,Parle Krack jack,Food & Grocery,40
250g,Parle G,Food & Grocery,25
800g,Parle G,Food & Grocery,85
200g,Party Mix,Food & Grocery,80
standard,Patal Pohe,"Rice, Poha & Puffed Rice",40
standard,Patanjali Unpolished Chhole ( Kabuli Chana) 1 kg,Dals & Pulses,162
100g,Patri Khadisakhar,"Salt, Sugar & Jaggery",54
250g,Peanut Chikki,Indian Sweets,130
45ml,Parachute Jasmine Oil,Cooking Oils,20
250g,Nylon Papadi,Food & Grocery,90
standard,nachni chips,Food & Grocery,90
100g,Pears Pure & Gentle soap,Bathing Soaps & Body Wash,54
3N*125g,Pears Soap,Bathing Soaps & Body Wash,252
4N*125g,Pears Soap,Bathing Soaps & Body Wash,325
250ml,Pears Soft & Fresh BW,Skin Care & Face Wash,197
standard,Pears fresh renewal FW,Food & Grocery,150
100g,Pecan nuts,Food & Grocery,240
250g,Penne Pasta,"Noodles, Pasta & Vermicelli",30
standard,Peri Peri masala kaju,Baby Foods,140
standard,Phondaghat Kokam Sy.,Food & Grocery,170
standard,Phondaghat Kokam Agal,Food & Grocery,135
100g,Phondaghat gulkand,Food & Grocery,67
200g,Phondaghat gulkand,Food & Grocery,118
100g,Phondaghat honey,Honey & Natural Sweeteners,68
250g,Phondaghat honey,Honey & Natural Sweeteners,140
250g,Pista rosted AA,Dry Fruits & Nuts,450
standard,Pista salted,Dry Fruits & Nuts,400
250kg,Pithisakhar,Flours & Semolina,17
500kg,Pithisakhar,Flours & Semolina,34
1kg,Polish Til,Food & Grocery,320
250g,Polish Til,Food & Grocery,80
500g,Polish Til,Food & Grocery,160
15g,Pond's Bright Beauty,Food & Grocery,42
200ml,Pond's Cold Cream,Skin Care &  Body Lotion,310
30ml,Pond's Cold Cream,Skin Care &  Body Lotion,46
55ml,Pond's Cold Cream,Skin Care &  Body Lotion,89
400g,Pond's Dreamflower Talc,Food & Grocery,340
100g,Pond's Magic,Food & Grocery,132
400g,Pond's Magic Talc,Food & Grocery,365
75ml,Pond's Moistruriser,Skin Care &  Body Lotion,125
100g,Pond's Pure Detox FW,Food & Grocery,195
25ml,Pond's Super light Gel,Food & Grocery,55
standard,Pour home lily room freshener,Air Fresheners,149
standard,Pravin Mango Pickle,Pickles & Chutneys,225
500kg,Poha,"Rice, Poha & Puffed Rice",36
1kg,Pithisakhar,Flours & Semolina,68
500g,Pravin Mango Pickle,Pickles & Chutneys,120
200g,Pravin Mango pickle,Pickles & Chutneys,75
200g,Pravin mango pickle,Pickles & Chutneys,60
425ml,Pril liqued,Food & Grocery,107
standard,Pril liquid lime 425 ml,Kitchen Cleaners,112
200G,Priya Gold Biscuits Butter Bite,Biscuits & Cookies,20
1kg,Pro Nature Brown Sugar,"Salt, Sugar & Jaggery",149
250g,Protein ladoo,Indian Sweets,175
standard,Pumpkin Seeds,Food & Grocery,90
250g,ROASTED ALSI,Baby Foods,90
standard,QUAKER OATS 400 g PLPCH QUICK COOKING [HOTCRL] [OATS],Cereals & Breakfast,79
standard,R. Alashi,Food & Grocery,160
standard,R. Alashi,Food & Grocery,320
250g,R. Alashi,Food & Grocery,80
standard,R. Badisaop,Food & Grocery,150
standard,R. Badisaop,Food & Grocery,300
100g,R. Badisaop,Food & Grocery,48
250g,R. Badisaop,Food & Grocery,120
50g,R. Badisaop,Food & Grocery,24
standard,RASNA [CONPWD] 20 g CDBOX NAGPUR ORANGE 11 VIT MAKES 32 GLASSE,Juices & Concentrates,48
standard,RIN REFRESH 1000g PLPCH LEMON AND ROSE BRIGHT LIKE NEW + RS 7 OFF,Laundry & Detergent Powder,103
standard,RISO 5 LIT,Food & Grocery,1175
standard,RITE BITE 50 g PLPCH MAX PROTEIN DAILY WORK OUT BAR CHOCO,Biscuits & Cookies,65
45g,RM Amritsari Paneer Tikka Masala,Masala & Spices,50
45g,RM NOG Paneer Makhanwala,Masala & Spices,53
standard,RM NOG paneer makhanwala,Cheese & Paneer,53
standard,ROOHAFZA [SQUASH] 750 ML PLBOT SHARBAT REFRESHING,Soft Drinks & Beverages,170
standard,Rai,Food & Grocery,100
standard,Rai,Food & Grocery,200
250g,Rajgira,Hair Care & Oil,40
250g,Rajgira Atta,Flours & Semolina,75
500g,Rajgira Atta,Flours & Semolina,150
300g,Puna Bhakarwadi,Snacks & Namkeen,110
100g,R. Alashi,Food & Grocery,36
1kg,Rice Atta,Flours & Semolina,72
standard,Rajgira lahya,Food & Grocery,40
10kg,Rajwadi Atta,Flours & Semolina,600
1kg,Rajwadi Atta,Flours & Semolina,68
7kg,Rajwadi Atta,Flours & Semolina,420
100g,Rajwadi Mukhwas,Mukhwas & Mouth Freshener,60
250g,Rajwadi Mukhwas,Mukhwas & Mouth Freshener,150
350g,Rambandhu Chilli Pickle,Pickles & Chutneys,85
1kg,Rambandhu Mango Pickle,Pickles & Chutneys,225
350g,Rambandhu Mango Pickle,Pickles & Chutneys,90
1kg,Rambandhu Papad Atta,Ready to Cook & Instant Mixes,220
standard,Rawa,Food & Grocery,18
standard,Rawa,Food & Grocery,35
standard,Rawa,Food & Grocery,70
200g,Rawa Laddu,Indian Sweets,160
standard,Real Grape,Juices & Concentrates,110
standard,Real Guava,Juices & Concentrates,110
1lt,Real apple juice,Health Drinks,105
1lt,Real cranberry juice,Juices & Concentrates,115
250g,Red Chawali,Food & Grocery,50
1kg,Fortun Sugar,Food & Grocery,65
standard,Red Khajoor,Dry Fruits & Nuts,70
standard,Red Khajoor Seedless,Dry Fruits & Nuts,100
standard,Red Labal N. C.,Food & Grocery,650
standard,Red Labal N/c Tea,Tea & Beverages,155
standard,Red Label,Food & Grocery,570
500g,Red Label,Food & Grocery,290
500g,Red Label NC,Food & Grocery,335
200g,Revive Liquid,Food & Grocery,81
200ml,Revive sanitizer,Handwash & Sanitizers,49
100g,Rexona Soap,Bathing Soaps & Body Wash,37
200g,Poha shev,Snacks & Namkeen,70
standard,Rajgira laddu,Indian Sweets,40
100g,Red Rai,Tea & Beverages,56
250g,Red Rai,Food & Grocery,140
6,Rin Bar,Laundry & Detergent Powder,123
standard,Rin ala 200 ml,Laundry & Detergent Powder,44
1L,Riso Rice Bran oil,Cooking Oils,210
55g,Rm Pav bhaji,Masala & Spices,55
100g,Roasted Alashi,Food & Grocery,35
100g,Roasted Balshepa,Food & Grocery,40
200g,Roasted Chane,Food & Grocery,55
100g,Roasted Singgada,Food & Grocery,75
250ml,Rooh Afza sharbat,Instant Drink Powder,70
50ml,Rooperi,Household Cleaning,110
standard,Rose Cookies,Biscuits & Cookies,120
500g,Ruchiyana Gud Powder,"Salt, Sugar & Jaggery",80
standard,SENSODYNE 150 g CDBOX FRESH GEL WITH FLUORIDE,Oral Care & Toothpaste,220
standard,SENSODYNE 75 g CDB FRESH GEL WITH FLUORIDE,Oral Care & Toothpaste,125
standard,SKITTLES,Food & Grocery,50
standard,SOCIETY MASALA1kg,Masala & Spices,640
200g,SU Ragi Satva Sugar Free,"Salt, Sugar & Jaggery",70
standard,SUNFEAST DIGESTIVE,Biscuits & Cookies,20
standard,Sabja,Food & Grocery,300
standard,Sabja,Food & Grocery,600
100g,Sabja,Food & Grocery,60
250g,Sabja,Food & Grocery,150
50g,Sabja,Tea & Beverages,30
50g,Sabja,Food & Grocery,30
1kg,Sabudana,"Rice, Poha & Puffed Rice",108
standard,Sabudana 250 g,"Rice, Poha & Puffed Rice",27
500g,Sabudana,"Rice, Poha & Puffed Rice",54
200g,Sada Khakara,Food & Grocery,60
500g,Saffola Chyawan Amrut,Food & Grocery,190
1kg,Rice Flour,Flours & Semolina,72
5L,Saffola Gold Special Price,"Rice, Poha & Puffed Rice",1030
39g,Saffola Masala Oats Lemony Twist,Cereals & Breakfast,207
500g,Rice Flour,Flours & Semolina,36
250g,Rice Flour,Flours & Semolina,18
200g,Sabudana Puri,Snacks & Namkeen,80
40G,Saffola Masala Oats  Classic Masala ,Cereals & Breakfast,16
250g,Saffola Mayonnaise,"Sauces, Jams & Spreads",90
53g,Saffola Oodles,Food & Grocery,22
350g,Saffola Peanut Butter Creamy,Cheese & Paneer,175
1kg,Saffola Salt,"Salt, Sugar & Jaggery",35
300g,Saffola honey,Honey & Natural Sweeteners,120
500g,Seedless Khajoor,Dry Fruits & Nuts,350
100g,Salted Pista,Dry Fruits & Nuts,200
standard,Salted kaju250g,Dry Fruits & Nuts,400
standard,Samrat Maida500G,Flours & Semolina,40
standard,Samrat Ragi 500 G,Flours & Semolina,41
standard,San Vito Durum Wheat Pasta Chiferi Rigatti N49 500 G,Snacks & Namkeen,180
standard,Sandki kismis,Dry Fruits & Nuts,400
250g,Sanduki kismis,Dry Fruits & Nuts,160
250g,Sankarpali sweet,Food & Grocery,70
standard,Savlon Hw Deep Clean,Handwash & Sanitizers,99
25g,Sawai Misal Masala,Masala & Spices,30
250g,Schezwan Chutney,"Sauces, Jams & Spreads",80
200g,Schezwan punjabi Tadka,Food & Grocery,80
standard,Scotch Brite Sponge,Household Cleaning,15
50ml,Secret Temptation Perfum,Deodorants & Perfumes,399
standard,Sensodyne Complete Protection+,Oral Care & Toothpaste,195
100g,Sensodyne Repair & protect,Oral Care & Toothpaste,235
70g,Sensodyne Sensitivity & Gum,Oral Care & Toothpaste,185
1kg,Serial flour,Flours & Semolina,80
standard,Seven Seeds,Food & Grocery,70
standard,Seven Seeds,Food & Grocery,175
200g,Seviyan,"Noodles, Pasta & Vermicelli",30
standard,Shahjira,Food & Grocery,16
standard,Shahjira,Food & Grocery,32
standard,Shahjira,Food & Grocery,80
standard,Shahjira,Food & Grocery,160
250g,Salted Badam,Dry Fruits & Nuts,350
100g,Salted kaju,Dry Fruits & Nuts,150
250g,Shankarpali,Food & Grocery,70
1kg,Sharbati Atta,Baby Foods,72
200g,Shev Puri,Food & Grocery,60
75g,Shikekai,Bathing Soaps & Body Wash,34
standard,Sihor,Food & Grocery,40
standard,Sihor,Food & Grocery,80
standard,Sihor,Food & Grocery,120
standard,Sihor,Food & Grocery,300
standard,Sihor,Food & Grocery,400
standard,Sihor,Food & Grocery,1200
standard,Sooji 1 kg,Flours & Semolina,76
250g,Sing Laddu,Indian Sweets,75
500g,Sing chikki Tukada,Indian Sweets,180
200g,karela chips,Food & Grocery,165
10G,Smith & Johns Pasta Masala,Masala & Spices,5
standard,Soan Gajak,Indian Sweets,160
250g,Society Masala Tea,Tea & Beverages,170
standard,Society Tea,Tea & Beverages,290
250g,Society Tea,Tea & Beverages,145
standard,Society Tea Masala,Tea & Beverages,330
250g,Sony Chivada,Food & Grocery,75
500g,Sooji,Bakery & Breads,38
standard,Sooper kesar basundi,Ready to Cook & Instant Mixes,85
standard,Sooper vermicelli kheer,Ready to Cook & Instant Mixes,80
500g,Soyabean,Food & Grocery,80
250g,Sp Chatpata,Food & Grocery,80
standard,Sp Methi Masala kha 250 g,Masala & Spices,80
250g,Sp Methi khakara,Food & Grocery,80
250g,Sp Poha Chivda,"Rice, Poha & Puffed Rice",75
1kg,Sp.idali Rawa,Flours & Semolina,60
500g,Sp.idali Rawa,Flours & Semolina,40
1kg,Sp.modak Pith,Flours & Semolina,108
standard,Society,Tea & Beverages,620
200g,Shev Moongdal,Food & Grocery,90
250g,Soyabean,Food & Grocery,40
250g,Sp.modak Pith,Flours & Semolina,27
standard,Sp.modak Pith500g,Flours & Semolina,54
standard,Spe. Bhajani Chakali,Snacks & Namkeen,75
250g,Spe. Moongchakali,Snacks & Namkeen,110
250g,Spe. Poha Chivda,Snacks & Namkeen,75
standard,Spl Gujrati Methi Khakra,Food & Grocery,90
200g,Suffa toast,Bakery & Breads,55
standard,Sugar,"Salt, Sugar & Jaggery",11
standard,Sugar,"Salt, Sugar & Jaggery",21
standard,Sugar,"Salt, Sugar & Jaggery",84
standard,Sugar,"Salt, Sugar & Jaggery",210
3kg,Sugar,"Salt, Sugar & Jaggery",126
100g,Sugar Free Gold,"Salt, Sugar & Jaggery",150
500g,Sugarlite 50%Less Calories,"Salt, Sugar & Jaggery",79
120g,Sunfeast Bournbon,Food & Grocery,30
standard,Sunfeast Nice Biscuits Pouch 150 gs,Biscuits & Cookies,25
1liter,Sunflower Dalda,Cooking Oils,170
standard,Sunflower Seeds,Food & Grocery,60
1L,Sunny Finel,Floor & Surface Cleaners,220
500ml,Sunny Finel,Floor & Surface Cleaners,125
1L,Sunrich Sunflower Oil,Cooking Oils,134
180ml,Sunsilk Biotin,Chocolates & Confectionery,98
360ml,Sunsilk Black Shine Shampoo,Chocolates & Confectionery,269
80ml,Sunsilk Thick & Long,Chocolates & Confectionery,59
180ml,Sunsilk Thick & Long Conditioner,Chocolates & Confectionery,154
180ml,Sunsilk Volume,Chocolates & Confectionery,152
370ml,Sunsilk Volume Shampoo,Chocolates & Confectionery,270
900g,Surabhi Classic Ketchup,"Sauces, Jams & Spreads",135
100g,Surabhi Date Tamarind chutney,"Sauces, Jams & Spreads",25
900g,Surabhi NOG ketchup,"Sauces, Jams & Spreads",125
250g,Surabhi Schezwan Chutney,"Sauces, Jams & Spreads",93
670ml,Surabhi cooking vinegar,Cooking Oils,57
1,Surati Kolam,Food & Grocery,62
2,Surati Kolam,Food & Grocery,64
150g,Surf Excel Bar,Laundry & Detergent Powder,16
4U*200g,Surf Excel Bar,Laundry & Detergent Powder,114
2L,Surf Excel Matic Liquid TL,Laundry & Detergent Powder,430
1kg,Surf Excel QW,Laundry & Detergent Powder,240
standard,Svitemblica Amla,Food & Grocery,160
standard,Svitemblica Amla Turmeric,Masala & Spices,200
standard,Svitemblica Ginger Lemon,Food & Grocery,170
1L,Svity gold groundnut oil,Cooking Oils,230
100g,Sweet Awala,Food & Grocery,35
250g,Sweet Awala,Food & Grocery,80
1L,Guinea lite refined oil,Cooking Oils,260
standard,TALOD JEERA KHAKHRA,Snacks & Namkeen,72
500g,TANG LEMON,Food & Grocery,150
500G,TATA BESAN,Masala & Spices,64
standard,TOP RAMEN [INSNDL]70G PPH CURRY SAUCY FLAT NOODLES+1VIVO KABDI CARD FR,"Noodles, Pasta & Vermicelli",25
standard,Taj Mahal Tea,Tea & Beverages,230
standard,Taj Mahal Tea,Tea & Beverages,425
500g,Talod Khaman,Food & Grocery,115
standard,Talod khaman,Food & Grocery,60
standard,Tata Premium,Tea & Beverages,270
standard,Tata Tea Agani,Tea & Beverages,240
standard,Tata Tea Agni,Tea & Beverages,50
standard,Tata Tea Agni,Tea & Beverages,120
standard,Tata Tea Gold,Tea & Beverages,315
250g,Tata Tea Gold Care,Tea & Beverages,165
standard,Tata Tea Premium,Tea & Beverages,140
